year,id,label,value
2002,Bremen,Bremen,66508.5
2002,Hamburg,Hamburg,91509.3
2002,Hesse,Hesse,61674.1
2002,Lower Saxony,Lower Saxony,43557
2002,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,31854.9
2002,North Rhine-Westphalia,North Rhine-Westphalia,49820
2002,Rhineland-Palatinate,Rhineland-Palatinate,43712.9
2002,Saarland,Saarland,45361.6
2002,Saxony,Saxony,34601.6
2002,Saxony-Anhalt,Saxony-Anhalt,32273.7
2002,Schleswig-Holstein,Schleswig-Holstein,42778.4
2002,Thuringia,Thuringia,31946.1
2003,Baden-Wurttemberg,Baden-Wurttemberg,57139
2003,Bavaria,Bavaria,55838.7
2003,Berlin,Berlin,47539.3
2003,Brandenburg,Brandenburg,33506.5
2003,Bremen,Bremen,67253.1
2003,Hamburg,Hamburg,90956.6
2003,Hesse,Hesse,62582.1
2003,Lower Saxony,Lower Saxony,43298.3
2003,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,31963.3
2003,North Rhine-Westphalia,North Rhine-Westphalia,49292.5
2003,Rhineland-Palatinate,Rhineland-Palatinate,43507.5
2003,Saarland,Saarland,45414.3
2003,Saxony,Saxony,35199.9
2003,Saxony-Anhalt,Saxony-Anhalt,32467.2
2003,Schleswig-Holstein,Schleswig-Holstein,42570.8
2003,Thuringia,Thuringia,32495.8
2004,Baden-Wurttemberg,Baden-Wurttemberg,57150
2004,Bavaria,Bavaria,56981.2
2004,Berlin,Berlin,47209.5
2004,Brandenburg,Brandenburg,34125.6
2004,Bremen,Bremen,67110.2
2004,Hamburg,Hamburg,92353.1
2004,Hesse,Hesse,62841.6
2004,Lower Saxony,Lower Saxony,43909
2004,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,32256.2
2004,North Rhine-Westphalia,North Rhine-Westphalia,50052.3
2004,Rhineland-Palatinate,Rhineland-Palatinate,44322.7
2004,Saarland,Saarland,47052.8
2004,Saxony,Saxony,35974.7
2004,Saxony-Anhalt,Saxony-Anhalt,33082.8
2004,Schleswig-Holstein,Schleswig-Holstein,42892.5
2004,Thuringia,Thuringia,33127
2005,Baden-Wurttemberg,Baden-Wurttemberg,57337.7
2005,Bavaria,Bavaria,57608.4
