STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT33,Tyrol,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,7428,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT31,Upper Austria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,14797,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT11,Burgenland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2022,,2141,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT11,Burgenland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,1979,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT31,Upper Austria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,13666,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT33,Tyrol,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,6766,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT22,Styria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,10375,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT21,Carinthia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,4217,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT34,Vorarlberg,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,3892,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AT13,Vienna,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,BR,Births,2023,,18072,,AUT,Austria,A,Normal value,0,Units,0,Zero
