REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
US46,South Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1745,,USA,United States,A,Normal value,0,Units,2,Two
US30,Montana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0035,,USA,United States,A,Normal value,0,Units,2,Two
US45,South Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.959,,USA,United States,A,Normal value,0,Units,2,Two
US39,Ohio,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.9585,,USA,United States,A,Normal value,0,Units,2,Two
US17,Illinois,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1895,,USA,United States,A,Normal value,0,Units,2,Two
US25,Massachusetts,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8145,,USA,United States,A,Normal value,0,Units,2,Two
US11,District of Columbia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.983,,USA,United States,A,Normal value,0,Units,2,Two
US20,Kansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1675,,USA,United States,A,Normal value,0,Units,2,Two
US15,Hawaii,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.311,,USA,United States,A,Normal value,0,Units,2,Two
US19,Iowa,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.035,,USA,United States,A,Normal value,0,Units,2,Two
US33,New Hampshire,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.6605,,USA,United States,A,Normal value,0,Units,2,Two
US48,Texas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.4935,,USA,United States,A,Normal value,0,Units,2,Two
US26,Michigan,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.938,,USA,United States,A,Normal value,0,Units,2,Two
US50,Vermont,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.547,,USA,United States,A,Normal value,0,Units,2,Two
US22,Louisiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0655,,USA,United States,A,Normal value,0,Units,2,Two
US51,Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8945,,USA,United States,A,Normal value,0,Units,2,Two
US49,Utah,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.7555,,USA,United States,A,Normal value,0,Units,2,Two
US04,Arizona,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.643,,USA,United States,A,Normal value,0,Units,2,Two
US36,New York,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0125,,USA,United States,A,Normal value,0,Units,2,Two
US28,Mississippi,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0455,,USA,United States,A,Normal value,0,Units,2,Two
US35,New Mexico,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.311,,USA,United States,A,Normal value,0,Units,2,Two
US24,Maryland,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.948,,USA,United States,A,Normal value,0,Units,2,Two
US16,Idaho,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.3035,,USA,United States,A,Normal value,0,Units,2,Two
US09,Connecticut,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.942,,USA,United States,A,Normal value,0,Units,2,Two
US42,Pennsylvania,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.857,,USA,United States,A,Normal value,0,Units,2,Two
US02,Alaska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.4625,,USA,United States,A,Normal value,0,Units,2,Two
US38,North Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8985,,USA,United States,A,Normal value,0,Units,2,Two
US23,Maine,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.6295,,USA,United States,A,Normal value,0,Units,2,Two
US13,Georgia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.228,,USA,United States,A,Normal value,0,Units,2,Two
US01,Alabama,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.9415,,USA,United States,A,Normal value,0,Units,2,Two
US37,North Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.239,,USA,United States,A,Normal value,0,Units,2,Two
US32,Nevada,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.5415,,USA,United States,A,Normal value,0,Units,2,Two
US05,Arkansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.09,,USA,United States,A,Normal value,0,Units,2,Two
US34,New Jersey,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1155,,USA,United States,A,Normal value,0,Units,2,Two
US54,West Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.7115,,USA,United States,A,Normal value,0,Units,2,Two
US44,Rhode Island,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8695,,USA,United States,A,Normal value,0,Units,2,Two
US06,California,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.151,,USA,United States,A,Normal value,0,Units,2,Two
US18,Indiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0895,,USA,United States,A,Normal value,0,Units,2,Two
US56,Wyoming,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.9265,,USA,United States,A,Normal value,0,Units,2,Two
US31,Nebraska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.229,,USA,United States,A,Normal value,0,Units,2,Two
US29,Missouri,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.022,,USA,United States,A,Normal value,0,Units,2,Two
US41,Oregon,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.055,,USA,United States,A,Normal value,0,Units,2,Two
US53,Washington,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.963,,USA,United States,A,Normal value,0,Units,2,Two
US12,Florida,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1655,,USA,United States,A,Normal value,0,Units,2,Two
US08,Colorado,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.398,,USA,United States,A,Normal value,0,Units,2,Two
US55,Wisconsin,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.94,,USA,United States,A,Normal value,0,Units,2,Two
US27,Minnesota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.061,,USA,United States,A,Normal value,0,Units,2,Two
US47,Tennessee,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0375,,USA,United States,A,Normal value,0,Units,2,Two
US21,Kentucky,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.949,,USA,United States,A,Normal value,0,Units,2,Two
US10,Delaware,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.9585,,USA,United States,A,Normal value,0,Units,2,Two
US40,Oklahoma,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.2045,,USA,United States,A,Normal value,0,Units,2,Two
US40,Oklahoma,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.0965,,USA,United States,A,Normal value,0,Units,2,Two
US10,Delaware,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9385,,USA,United States,A,Normal value,0,Units,2,Two
US21,Kentucky,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.881,,USA,United States,A,Normal value,0,Units,2,Two
US47,Tennessee,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.94,,USA,United States,A,Normal value,0,Units,2,Two
US27,Minnesota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.972,,USA,United States,A,Normal value,0,Units,2,Two
US08,Colorado,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.1505,,USA,United States,A,Normal value,0,Units,2,Two
US55,Wisconsin,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.8935,,USA,United States,A,Normal value,0,Units,2,Two
US12,Florida,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.997,,USA,United States,A,Normal value,0,Units,2,Two
US53,Washington,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.886,,USA,United States,A,Normal value,0,Units,2,Two
US41,Oregon,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9095,,USA,United States,A,Normal value,0,Units,2,Two
US29,Missouri,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9425,,USA,United States,A,Normal value,0,Units,2,Two
US31,Nebraska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.166,,USA,United States,A,Normal value,0,Units,2,Two
US56,Wyoming,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.0305,,USA,United States,A,Normal value,0,Units,2,Two
US18,Indiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.0155,,USA,United States,A,Normal value,0,Units,2,Two
US06,California,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.074,,USA,United States,A,Normal value,0,Units,2,Two
US44,Rhode Island,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.7035,,USA,United States,A,Normal value,0,Units,2,Two
US54,West Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.78,,USA,United States,A,Normal value,0,Units,2,Two
US34,New Jersey,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.0115,,USA,United States,A,Normal value,0,Units,2,Two
US05,Arkansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.04,,USA,United States,A,Normal value,0,Units,2,Two
US32,Nevada,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.2455,,USA,United States,A,Normal value,0,Units,2,Two
US37,North Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.0155,,USA,United States,A,Normal value,0,Units,2,Two
US01,Alabama,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.882,,USA,United States,A,Normal value,0,Units,2,Two
US13,Georgia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.109,,USA,United States,A,Normal value,0,Units,2,Two
US23,Maine,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.6615,,USA,United States,A,Normal value,0,Units,2,Two
US38,North Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.8585,,USA,United States,A,Normal value,0,Units,2,Two
US09,Connecticut,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.8815,,USA,United States,A,Normal value,0,Units,2,Two
US42,Pennsylvania,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.8035,,USA,United States,A,Normal value,0,Units,2,Two
US02,Alaska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.5505,,USA,United States,A,Normal value,0,Units,2,Two
US16,Idaho,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.273,,USA,United States,A,Normal value,0,Units,2,Two
US24,Maryland,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.922,,USA,United States,A,Normal value,0,Units,2,Two
US35,New Mexico,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.2075,,USA,United States,A,Normal value,0,Units,2,Two
US28,Mississippi,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9755,,USA,United States,A,Normal value,0,Units,2,Two
US36,New York,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.8295,,USA,United States,A,Normal value,0,Units,2,Two
US04,Arizona,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.362,,USA,United States,A,Normal value,0,Units,2,Two
US49,Utah,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.544,,USA,United States,A,Normal value,0,Units,2,Two
US51,Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9275,,USA,United States,A,Normal value,0,Units,2,Two
US22,Louisiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9905,,USA,United States,A,Normal value,0,Units,2,Two
US50,Vermont,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.604,,USA,United States,A,Normal value,0,Units,2,Two
US26,Michigan,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.915,,USA,United States,A,Normal value,0,Units,2,Two
US48,Texas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.354,,USA,United States,A,Normal value,0,Units,2,Two
US33,New Hampshire,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.733,,USA,United States,A,Normal value,0,Units,2,Two
US19,Iowa,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.948,,USA,United States,A,Normal value,0,Units,2,Two
US15,Hawaii,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.137,,USA,United States,A,Normal value,0,Units,2,Two
US20,Kansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.146,,USA,United States,A,Normal value,0,Units,2,Two
US11,District of Columbia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.5825,,USA,United States,A,Normal value,0,Units,2,Two
US25,Massachusetts,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.711,,USA,United States,A,Normal value,0,Units,2,Two
US17,Illinois,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.0355,,USA,United States,A,Normal value,0,Units,2,Two
US39,Ohio,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.943,,USA,United States,A,Normal value,0,Units,2,Two
US45,South Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.868,,USA,United States,A,Normal value,0,Units,2,Two
US30,Montana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,1.9735,,USA,United States,A,Normal value,0,Units,2,Two
US46,South Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2002,,2.186,,USA,United States,A,Normal value,0,Units,2,Two
US46,South Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.2415,,USA,United States,A,Normal value,0,Units,2,Two
US30,Montana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.029,,USA,United States,A,Normal value,0,Units,2,Two
US45,South Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9295,,USA,United States,A,Normal value,0,Units,2,Two
US39,Ohio,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.964,,USA,United States,A,Normal value,0,Units,2,Two
US17,Illinois,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.0525,,USA,United States,A,Normal value,0,Units,2,Two
US25,Massachusetts,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.7355,,USA,United States,A,Normal value,0,Units,2,Two
US11,District of Columbia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.5935,,USA,United States,A,Normal value,0,Units,2,Two
US20,Kansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.152,,USA,United States,A,Normal value,0,Units,2,Two
US15,Hawaii,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.2425,,USA,United States,A,Normal value,0,Units,2,Two
US19,Iowa,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9865,,USA,United States,A,Normal value,0,Units,2,Two
US33,New Hampshire,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.7715,,USA,United States,A,Normal value,0,Units,2,Two
US48,Texas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.3465,,USA,United States,A,Normal value,0,Units,2,Two
US26,Michigan,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.939,,USA,United States,A,Normal value,0,Units,2,Two
US50,Vermont,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.683,,USA,United States,A,Normal value,0,Units,2,Two
US22,Louisiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.0015,,USA,United States,A,Normal value,0,Units,2,Two
US51,Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9735,,USA,United States,A,Normal value,0,Units,2,Two
US49,Utah,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.5665,,USA,United States,A,Normal value,0,Units,2,Two
US04,Arizona,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.385,,USA,United States,A,Normal value,0,Units,2,Two
US36,New York,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.866,,USA,United States,A,Normal value,0,Units,2,Two
US28,Mississippi,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.03,,USA,United States,A,Normal value,0,Units,2,Two
US35,New Mexico,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.2005,,USA,United States,A,Normal value,0,Units,2,Two
US24,Maryland,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9775,,USA,United States,A,Normal value,0,Units,2,Two
US16,Idaho,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.319,,USA,United States,A,Normal value,0,Units,2,Two
US09,Connecticut,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9155,,USA,United States,A,Normal value,0,Units,2,Two
US42,Pennsylvania,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.855,,USA,United States,A,Normal value,0,Units,2,Two
US02,Alaska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.3745,,USA,United States,A,Normal value,0,Units,2,Two
US38,North Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9335,,USA,United States,A,Normal value,0,Units,2,Two
US23,Maine,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.746,,USA,United States,A,Normal value,0,Units,2,Two
US13,Georgia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.1215,,USA,United States,A,Normal value,0,Units,2,Two
US01,Alabama,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.918,,USA,United States,A,Normal value,0,Units,2,Two
US37,North Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.018,,USA,United States,A,Normal value,0,Units,2,Two
US32,Nevada,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.208,,USA,United States,A,Normal value,0,Units,2,Two
US05,Arkansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.055,,USA,United States,A,Normal value,0,Units,2,Two
US34,New Jersey,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.051,,USA,United States,A,Normal value,0,Units,2,Two
US54,West Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.7985,,USA,United States,A,Normal value,0,Units,2,Two
US44,Rhode Island,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.763,,USA,United States,A,Normal value,0,Units,2,Two
US06,California,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.1315,,USA,United States,A,Normal value,0,Units,2,Two
US18,Indiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.054,,USA,United States,A,Normal value,0,Units,2,Two
US56,Wyoming,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.0585,,USA,United States,A,Normal value,0,Units,2,Two
US31,Nebraska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.209,,USA,United States,A,Normal value,0,Units,2,Two
US29,Missouri,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.994,,USA,United States,A,Normal value,0,Units,2,Two
US41,Oregon,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9015,,USA,United States,A,Normal value,0,Units,2,Two
US53,Washington,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.8995,,USA,United States,A,Normal value,0,Units,2,Two
US12,Florida,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.005,,USA,United States,A,Normal value,0,Units,2,Two
US08,Colorado,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.1195,,USA,United States,A,Normal value,0,Units,2,Two
US55,Wisconsin,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.943,,USA,United States,A,Normal value,0,Units,2,Two
US27,Minnesota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,2.0245,,USA,United States,A,Normal value,0,Units,2,Two
US47,Tennessee,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2003,,1.9505,,USA,United States,A,Normal value,0,Units,2,Two
