year,id,label,value
2004,Telangana,Telangana,3687
2004,Tripura,Tripura,2917.6
2004,Uttar Pradesh,Uttar Pradesh,1762.3
2004,Uttarakhand,Uttarakhand,3698
2004,West Bengal,West Bengal,2795.9
2005,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4316.9
2005,Andhra Pradesh,Andhra Pradesh,3589.6
2005,Arunachal Pradesh,Arunachal Pradesh,3456.9
2005,Assam,Assam,2593.6
2005,Bihar,Bihar,1017.6
2005,Chandigarh,Chandigarh,8489.5
2005,Chhattisgarh,Chhattisgarh,2818.6
2005,Delhi,Delhi,10008
2005,Goa,Goa,10422.4
2005,Gujarat,Gujarat,5041.2
2005,Haryana,Haryana,5131.6
2005,Himachal Pradesh,Himachal Pradesh,5173.9
2005,Jammu and Kashmir,Jammu and Kashmir,3456.2
2005,Jharkhand,Jharkhand,2548.2
2005,Karnataka,Karnataka,5099.4
2005,Kerala,Kerala,5360
2005,Madhya Pradesh,Madhya Pradesh,2134.6
2005,Maharashtra,Maharashtra,5598.2
2005,Manipur,Manipur,2874.9
2005,Meghalaya,Meghalaya,3548.3
2005,Mizoram,Mizoram,3433.8
2005,Nagaland,Nagaland,3500.8
2005,Odisha,Odisha,2499.7
2005,Puducherry,Puducherry,9433.1
2005,Punjab,Punjab,4668.8
2005,Rajasthan,Rajasthan,2644.6
2005,Sikkim,Sikkim,4773.2
2005,Tamil Nadu,Tamil Nadu,4896.3
2005,Telangana,Telangana,4199
2005,Tripura,Tripura,3051.6
2005,Uttar Pradesh,Uttar Pradesh,1864.1
2005,Uttarakhand,Uttarakhand,4221.1
2005,West Bengal,West Bengal,2927
2006,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4871.9
2006,Andhra Pradesh,Andhra Pradesh,3946.2
2006,Arunachal Pradesh,Arunachal Pradesh,3471.1
2006,Assam,Assam,2619
2006,Bihar,Bihar,1149
2006,Chandigarh,Chandigarh,9148.6
2006,Chhattisgarh,Chhattisgarh,3246.5
2006,Delhi,Delhi,10842.4
2006,Goa,Goa,10974.5
2006,Gujarat,Gujarat,5408.5
2006,Haryana,Haryana,5597.1
2006,Himachal Pradesh,Himachal Pradesh,5365.5
2006,Jammu and Kashmir,Jammu and Kashmir,3555.3
2006,Jharkhand,Jharkhand,2591.5
2006,Karnataka,Karnataka,5493.8
2006,Kerala,Kerala,5633
2006,Madhya Pradesh,Madhya Pradesh,2292.3
2006,Maharashtra,Maharashtra,6222.2
2006,Manipur,Manipur,2837
2006,Meghalaya,Meghalaya,3861.6
2006,Mizoram,Mizoram,3482.1
2006,Nagaland,Nagaland,3564.5
2006,Odisha,Odisha,2774.5
2006,Puducherry,Puducherry,9090.2
2006,Punjab,Punjab,5040.3
2006,Rajasthan,Rajasthan,2934.5
2006,Sikkim,Sikkim,4797
2006,Tamil Nadu,Tamil Nadu,5498.5
2006,Telangana,Telangana,4559.1
2006,Tripura,Tripura,3146.1
2006,Uttar Pradesh,Uttar Pradesh,1971.8
2006,Uttarakhand,Uttarakhand,4794.1
2006,West Bengal,West Bengal,3092.2
2007,Andaman and Nicobar Islands,Andaman and Nicobar Islands,5241.8
2007,Andhra Pradesh,Andhra Pradesh,4512.2
2007,Arunachal Pradesh,Arunachal Pradesh,3755.9
2007,Assam,Assam,2685
2007,Bihar,Bihar,1207.1
2007,Chandigarh,Chandigarh,9132.9
2007,Chhattisgarh,Chhattisgarh,3621.6
2007,Delhi,Delhi,11718.9
2007,Goa,Goa,11888.2
2007,Gujarat,Gujarat,5849.2
2007,Haryana,Haryana,6121.3
2007,Himachal Pradesh,Himachal Pradesh,5631.8
2007,Jammu and Kashmir,Jammu and Kashmir,3700.5
2007,Jharkhand,Jharkhand,3028.3
2007,Karnataka,Karnataka,6116.9
2007,Kerala,Kerala,6037
2007,Madhya Pradesh,Madhya Pradesh,2379.4
2007,Maharashtra,Maharashtra,6791.8
2007,Manipur,Manipur,2899.8
2007,Meghalaya,Meghalaya,4021.4
2007,Mizoram,Mizoram,3724
2007,Nagaland,Nagaland,3690.4
2007,Odisha,Odisha,3286.9
2007,Puducherry,Puducherry,9367.3
2007,Punjab,Punjab,5604.2
2007,Rajasthan,Rajasthan,3105
2007,Sikkim,Sikkim,5205.9
2007,Tamil Nadu,Tamil Nadu,5830.7
2007,Telangana,Telangana,5114.5
2007,Tripura,Tripura,3176.6
2007,Uttar Pradesh,Uttar Pradesh,2084.3
2007,Uttarakhand,Uttarakhand,5562.1
2007,West Bengal,West Bengal,3311.8
2008,Andaman and Nicobar Islands,Andaman and Nicobar Islands,5418.4
2008,Andhra Pradesh,Andhra Pradesh,4596.4
2008,Arunachal Pradesh,Arunachal Pradesh,3993.2
2008,Assam,Assam,2782.5
2008,Bihar,Bihar,1369.6
2008,Chandigarh,Chandigarh,8907.8
2008,Chhattisgarh,Chhattisgarh,3943.5
2008,Delhi,Delhi,12696.9
2008,Goa,Goa,13678.6
2008,Gujarat,Gujarat,5928.9
2008,Haryana,Haryana,6663.6
2008,Himachal Pradesh,Himachal Pradesh,6264.5
2008,Jammu and Kashmir,Jammu and Kashmir,3830.2
2008,Jharkhand,Jharkhand,2873.2
2008,Karnataka,Karnataka,6383.9
2008,Kerala,Kerala,6401.3
2008,Madhya Pradesh,Madhya Pradesh,2630.3
2008,Maharashtra,Maharashtra,6781.1
2008,Manipur,Manipur,2849
2008,Meghalaya,Meghalaya,4308.9
2008,Mizoram,Mizoram,4008
2008,Nagaland,Nagaland,3903.9
2008,Odisha,Odisha,3429.1
2008,Puducherry,Puducherry,9189.4
2008,Punjab,Punjab,5788.6
2008,Rajasthan,Rajasthan,3329
2008,Sikkim,Sikkim,6089.9
2008,Tamil Nadu,Tamil Nadu,6095.3
2008,Telangana,Telangana,5789.6
2008,Tripura,Tripura,3324
2008,Uttar Pradesh,Uttar Pradesh,2186.2
2008,Uttarakhand,Uttarakhand,6158.6
2008,West Bengal,West Bengal,3446.2
2009,Andaman and Nicobar Islands,Andaman and Nicobar Islands,5843.7
2009,Andhra Pradesh,Andhra Pradesh,4942.5
2009,Arunachal Pradesh,Arunachal Pradesh,4837.1
2009,Assam,Assam,3066.6
2009,Bihar,Bihar,1457.4
2009,Chandigarh,Chandigarh,9095.6
2009,Chhattisgarh,Chhattisgarh,3747.5
2009,Delhi,Delhi,13486.1
